mass_A
t	x	y
5,964888889E0	-3,219267542E1	5,202166632E1
5,998211111E0	-3,213447307E1	5,205951522E1
6,031533333E0	-3,216305949E1	5,203415018E1
6,064855556E0	-3,214770681E1	5,204272807E1
6,098177778E0	-3,214098959E1	5,204687572E1
6,131500000E0	-3,215390602E1	5,203551077E1
6,164833333E0	-3,214270323E1	5,204494453E1
6,198155556E0	-3,217284392E1	5,201198476E1
6,231466667E0	-3,216238446E1	5,209863420E1
6,264800000E0	-3,251845720E1	5,430830861E1
6,298133333E0	-3,435248794E1	6,424859869E1
6,331455556E0	-3,928240060E1	8,374996001E1
6,364766667E0	-4,257368937E1	9,367063829E1
6,398111111E0	-4,316447408E1	9,536617906E1
6,431422222E0	-4,304913719E1	9,492353522E1
6,464800000E0	-4,301076813E1	9,493535730E1
6,498177778E0	-4,303702988E1	9,488560465E1
6,531388889E0	-4,301947411E1	9,492652630E1
6,564711111E0	-4,302689956E1	9,489088169E1
6,598033333E0	-4,301191891E1	9,492758802E1
6,631344444E0	-4,301815375E1	9,491005503E1
6,664688889E0	-4,301941950E1	9,491147570E1
6,698011111E0	-4,302293376E1	9,491044629E1
6,731422222E0	-4,302980408E1	9,490766812E1
6,764655556E0	-4,302561567E1	9,490893672E1
6,797966667E0	-4,302669796E1	9,490694336E1
6,831300000E0	-4,302050509E1	9,491194723E1
6,864677778E0	-4,271090542E1	9,400447422E1
6,897944444E0	-4,127748100E1	8,962801737E1
6,931266667E0	-3,764034719E1	7,845457269E1
6,964588889E0	-3,270831781E1	5,506672834E1
6,997922222E0	-3,267954078E1	5,540997685E1
7,031233333E0	-3,272044653E1	5,529469239E1
7,064566667E0	-3,269955505E1	5,540019401E1
7,097877778E0	-3,271281791E1	5,531044660E1
7,131211111E0	-3,269895808E1	5,534973144E1
7,164522222E0	-3,270364341E1	5,533394265E1
7,197844444E0	-3,271898136E1	5,546622687E1
7,231177778E0	-3,272504971E1	5,562724850E1
7,264500000E0	-3,272960653E1	5,560675328E1
7,297822222E0	-3,272375420E1	5,563752425E1
7,331144444E0	-3,273120604E1	5,561213397E1
7,364477778E0	-3,272234378E1	5,564012468E1
7,397800000E0	-3,272930707E1	5,561438510E1
7,431133333E0	-3,272381599E1	5,568163772E1
7,464433333E0	-3,318308836E1	5,822948741E1
7,497755556E0	-3,480047775E1	6,602019588E1
7,531088889E0	-4,069770248E1	8,833381284E1
7,564411111E0	-4,239566450E1	9,313323566E1
7,597733333E0	-4,258546887E1	9,375779338E1
7,631055556E0	-4,270906942E1	9,402287617E1
7,664377778E0	-4,278234191E1	9,431614680E1
7,697800000E0	-4,279175786E1	9,432332312E1
7,731033333E0	-4,289740542E1	9,451665079E1
7,764355556E0	-4,294872452E1	9,472880739E1
7,797677778E0	-4,294933501E1	9,472716604E1
7,830988889E0	-4,294878977E1	9,472739455E1
7,864322222E0	-4,294846211E1	9,472461571E1
7,897644444E0	-4,294776813E1	9,472699730E1
7,930966667E0	-4,294885584E1	9,472390132E1
7,964300000E0	-4,295132098E1	9,472622425E1
7,997622222E0	-4,295507223E1	9,472058964E1
8,030933333E0	-4,295176869E1	9,472314816E1
8,064266667E0	-4,254803680E1	9,350247563E1
8,097588889E0	-4,012178429E1	8,601337466E1
8,130922222E0	-3,285833453E1	5,534036151E1
8,164233333E0	-3,225747055E1	5,213175902E1
8,197644444E0	-3,228115525E1	5,248934268E1
8,231000000E0	-3,226780004E1	5,257141691E1
8,264222222E0	-3,229405384E1	5,252262579E1
8,297533333E0	-3,227345240E1	5,260764756E1
8,330855556E0	-3,229684650E1	5,251266965E1
8,364177778E0	-3,227218685E1	5,259828608E1
8,397500000E0	-3,229619313E1	5,251094341E1
8,430811111E0	-3,227318922E1	5,259922736E1
8,464144444E0	-3,229383566E1	5,252863463E1
8,497466667E0	-3,227465203E1	5,260326396E1
8,530788889E0	-3,229004901E1	5,254586622E1
8,564111111E0	-3,228189594E1	5,258865241E1
8,597444444E0	-3,228901349E1	5,254471700E1
8,630866667E0	-3,230621264E1	5,297617667E1
8,664077778E0	-3,289107967E1	5,616726695E1
8,697411111E0	-3,453127097E1	6,503468545E1
8,730766667E0	-4,052352260E1	8,762321310E1
8,764055556E0	-4,232906604E1	9,294749413E1
8,797377778E0	-4,254820659E1	9,354416179E1
8,830700000E0	-4,270834476E1	9,393877046E1
8,864033333E0	-4,275605996E1	9,417012057E1
8,900711111E0	-4,286829306E1	9,438455895E1
8,930677778E0	-4,286434953E1	9,438148790E1
8,963988889E0	-4,286252998E1	9,438550944E1
8,997322222E0	-4,285567300E1	9,438934962E1
9,030655556E0	-4,286071175E1	9,439501352E1
9,063977778E0	-4,286817178E1	9,438684648E1
9,097300000E0	-4,285687721E1	9,439045354E1
9,130611111E0	-4,286117226E1	9,438787372E1
9,163933333E0	-4,285412493E1	9,439523753E1
9,197266667E0	-4,285121837E1	9,439017449E1
9,230600000E0	-4,284497858E1	9,439079355E1
9,263911111E0	-4,212846609E1	9,237540739E1
9,297233333E0	-4,049930878E1	8,721687792E1
9,330555556E0	-3,606624765E1	7,278127619E1
9,363866667E0	-3,290037820E1	5,622345189E1
9,397200000E0	-3,282440177E1	5,623920184E1
9,430544444E0	-3,288530146E1	5,624721910E1
9,463855556E0	-3,287612841E1	5,625396663E1
9,497166667E0	-3,286257641E1	5,625880073E1
9,530500000E0	-3,288511784E1	5,624754650E1
9,563811111E0	-3,283732373E1	5,626051804E1
9,597144444E0	-3,288560336E1	5,624720823E1
9,630477778E0	-3,282697096E1	5,627092319E1
9,663788889E0	-3,289427252E1	5,624781139E1
9,697111111E0	-3,282964197E1	5,627325503E1
9,730433333E0	-3,289636916E1	5,624665863E1
9,763755556E0	-3,284680750E1	5,627284290E1
9,797077778E0	-3,289587893E1	5,625089133E1
9,830411111E0	-3,329260391E1	5,884555170E1
9,863733333E0	-3,376357264E1	6,126798344E1
9,897055556E0	-3,563166793E1	6,990171631E1
9,930377778E0	-4,172277737E1	9,116861896E1
9,963688889E0	-4,213174950E1	9,235040294E1
9,997022222E0	-4,270960947E1	9,386253904E1
1,003034444E1	-4,272190223E1	9,401182854E1
1,006366667E1	-4,281836375E1	9,430612181E1
1,009698889E1	-4,282398339E1	9,433339347E1
1,013031111E1	-4,286668672E1	9,442343667E1
1,016363333E1	-4,290768863E1	9,449396262E1
1,019697778E1	-4,290809876E1	9,448878616E1
1,023027778E1	-4,291039419E1	9,448889678E1
1,026361111E1	-4,291401763E1	9,448775102E1
1,029694444E1	-4,291321987E1	9,449553693E1
1,033025556E1	-4,291389866E1	9,449412655E1
1,036374444E1	-4,291487280E1	9,449422810E1
1,039690000E1	-4,291628393E1	9,449662831E1
1,043022222E1	-4,286912273E1	9,438594654E1
1,046358889E1	-4,174150425E1	9,113719345E1
1,049686667E1	-3,827254539E1	8,025877754E1
1,053018889E1	-3,267590140E1	5,451028193E1
1,056352222E1	-3,215200849E1	5,244180426E1
1,059684444E1	-3,232204184E1	5,263289253E1
1,063016667E1	-3,225959678E1	5,268950633E1
